뽑으면 우는 식물은?,우엉
세상에서 가장 가난한 왕은?,최저임금
진짜 새의 이름은?,참새
뱀이 불타면?,뱀파이어
오리를 생으로 먹으면?,회오리
해가 우는곳은 어디일까요?,해운대
맞아야 사는 것은 무엇일까요?,팽이
날마다 아픈 신은?,욱신욱신
활을 잘 쏘는 사람들이 먹는 약은?,활명수
소가 노래하면?,소송
소가 단체로 노래하면?,단체소송
방귀끼지마를 영어로 하면?,돈까스
매일 남의옷만 입는것은?,옷걸이
왕이 넘어지면 뭐가 될까요?,킹콩
물고기중에 제일 많이 배운 물고기는?,고등어
자동차를 깜짝 놀라게 하면?,카놀라유
고추가 웃으면?,풋고추
동물원에서 가장 비싼 동물은?,백조
돌잔치를 영어로하면?,락페스티벌
오래될수록 젊어보이는 것은?,사진
혼자만 갈 수 있는 나라는?,꿈나라
아몬드가 죽으면?,다이아몬드
신이 화가나면?,신발끈
피자가 웃으면?,피자헛
가장 억울한 도형은?,원통
의사들이 가장 좋아하는 시간은?,내시경
죽기 전 맥주가 남긴 말은?,유언비어
반성문을 영어로 하면?,글로벌
비가 한시간동안 내리면?,추적 60분
딸기가 회사에서 잘리면?,딸기시럽
